time: 422.3999999910593, x: 1704, y: 217.33331298828125, sound: 1
time: 438.8999999910593, x: 1757, y: 219.33331298828125, sound: 1
time: 439.09999999403954, x: 1757, y: 219.33331298828125, sound: 1
time: 455.5, x: 1792, y: 219.33331298828125, sound: 1
time: 455.70000000298023, x: 1792, y: 219.33331298828125, sound: 1
time: 472.29999999701977, x: 1826, y: 219.33331298828125, sound: 1
time: 472.5, x: 1826, y: 219.33331298828125, sound: 1
time: 488.8999999910593, x: 1858, y: 219.33331298828125, sound: 1
time: 489, x: 1858, y: 219.33331298828125, sound: 1
time: 505.5, x: 1906, y: 219.33331298828125, sound: 1
time: 505.70000000298023, x: 1906, y: 219.33331298828125, sound: 1
time: 513.2999999970198, x: 1930, y: 219.33331298828125, sound: 1
time: 522, x: 1976, y: 222.33331298828125, sound: 1
time: 522.2000000029802, x: 1976, y: 222.33331298828125, sound: 1
time: 538.7999999970198, x: 2048, y: 225.33331298828125, sound: 1
time: 538.7999999970198, x: 2048, y: 225.33331298828125, sound: 1
time: 543.7999999970198, x: 2064, y: 225.33331298828125, sound: 1
time: 555.5, x: 2125, y: 227.33331298828125, sound: 1
time: 555.7000000029802, x: 2125, y: 227.33331298828125, sound: 1
time: 572.2999999970198, x: 2205, y: 230.33331298828125, sound: 1
time: 572.2999999970198, x: 2205, y: 230.33331298828125, sound: 1
time: 574.7000000029802, x: 2216, y: 230.33331298828125, sound: 1
time: 588.7000000029802, x: 2290, y: 233.33331298828125, sound: 1
time: 588.7999999970198, x: 2290, y: 233.33331298828125, sound: 1
time: 605.7000000029802, x: 2368, y: 233.33331298828125, sound: 1
time: 606, x: 2368, y: 233.33331298828125, sound: 1
time: 622.2999999970198, x: 2424, y: 233.33331298828125, sound: 1
time: 622.5, x: 2424, y: 233.33331298828125, sound: 1
time: 636.5999999940395, x: 2474, y: 233.33331298828125, sound: 1
time: 638.7999999970198, x: 2485, y: 233.33331298828125, sound: 1
time: 638.8999999910593, x: 2485, y: 233.33331298828125, sound: 1
time: 655.7000000029802, x: 2565, y: 241.33331298828125, sound: 1
time: 655.7999999970198, x: 2565, y: 241.33331298828125, sound: 1
time: 670.0999999940395, x: 2661, y: 241.33331298828125, sound: 1
time: 672.2999999970198, x: 2666, y: 243.33331298828125, sound: 1
time: 672.3999999910593, x: 2666, y: 243.33331298828125, sound: 1
time: 688.8999999910593, x: 2776, y: 249.33331298828125, sound: 1
time: 689, x: 2776, y: 249.33331298828125, sound: 1
time: 697.8999999910593, x: 2810, y: 249.33331298828125, sound: 1
time: 705.5999999940395, x: 2845, y: 249.33331298828125, sound: 1
time: 705.7999999970198, x: 2845, y: 249.33331298828125, sound: 1
time: 722.2000000029802, x: 2890, y: 251.33331298828125, sound: 1
time: 722.5999999940395, x: 2890, y: 251.33331298828125, sound: 1
time: 728.2999999970198, x: 2906, y: 251.33331298828125, sound: 1
time: 738.7000000029802, x: 2936, y: 251.33331298828125, sound: 1
time: 738.7999999970198, x: 2936, y: 251.33331298828125, sound: 1
time: 755.5, x: 2997, y: 246.33331298828125, sound: 1
time: 755.5999999940395, x: 2997, y: 246.33331298828125, sound: 1
time: 759, x: 3016, y: 243.33331298828125, sound: 1
time: 772.2000000029802, x: 3093, y: 243.33331298828125, sound: 1
time: 772.3999999910593, x: 3093, y: 243.33331298828125, sound: 1
time: 788.8999999910593, x: 3205, y: 243.33331298828125, sound: 1
time: 789.0999999940395, x: 3205, y: 243.33331298828125, sound: 1
time: 798.7999999970198, x: 2850, y: 179.33331298828125, sound: 1
time: 805.5999999940395, x: 3298, y: 249.33331298828125, sound: 1
time: 815.6000000089407, x: 2800, y: 182.33331298828125, sound: 1
time: 822.2999999970198, x: 3368, y: 251.33331298828125, sound: 1
time: 822.3999999910593, x: 3368, y: 251.33331298828125, sound: 1
time: 832.1000000089407, x: 2725, y: 182.33331298828125, sound: 1
time: 839, x: 3416, y: 254.33331298828125, sound: 1
time: 848.9000000059605, x: 2632, y: 182.33331298828125, sound: 1
time: 855.5999999940395, x: 3442, y: 254.33331298828125, sound: 1
time: 855.7000000029802, x: 3442, y: 254.33331298828125, sound: 1
time: 865.6000000089407, x: 2536, y: 182.33331298828125, sound: 1
time: 872.5, x: 3469, y: 254.33331298828125, sound: 1
time: 881.0999999940395, x: 3488, y: 254.33331298828125, sound: 1
time: 882.1000000089407, x: 2456, y: 182.33331298828125, sound: 1
time: 888.8999999910593, x: 3512, y: 251.33331298828125, sound: 1
