time: 550.8999999985099, x: 509, y: 208.3333282470703, sound: 1
time: 556, x: 512, y: 207.3333282470703, sound: 1
time: 556, x: 512, y: 207.3333282470703, sound: 1
time: 558.2000000067055, x: 811, y: 218.3333282470703, sound: 1
time: 564.1000000089407, x: 812, y: 215.3333282470703, sound: 1
time: 572.5999999977648, x: 525, y: 202.3333282470703, sound: 1
time: 572.6999999992549, x: 525, y: 202.3333282470703, sound: 1
time: 573.5000000074506, x: 812, y: 210.3333282470703, sound: 1
time: 579.3999999985099, x: 528, y: 200.3333282470703, sound: 1
time: 589.1999999992549, x: 532, y: 198.3333282470703, sound: 1
time: 589.3000000007451, x: 532, y: 198.3333282470703, sound: 1
time: 590.2000000067055, x: 812, y: 203.3333282470703, sound: 1
time: 594.5000000074506, x: 812, y: 202.3333282470703, sound: 1
time: 605.8999999985099, x: 536, y: 194.3333282470703, sound: 1
time: 606.0999999977648, x: 536, y: 194.3333282470703, sound: 1
time: 607.0000000074506, x: 812, y: 195.3333282470703, sound: 1
time: 608.8999999985099, x: 537, y: 192.3333282470703, sound: 1
time: 622.6999999992549, x: 540, y: 186.3333282470703, sound: 1
time: 622.8000000007451, x: 540, y: 186.3333282470703, sound: 1
time: 623.5000000074506, x: 808, y: 188.3333282470703, sound: 1
time: 625.1000000089407, x: 808, y: 187.3333282470703, sound: 1
time: 639.3000000007451, x: 544, y: 178.3333282470703, sound: 1
time: 639.5, x: 544, y: 178.3333282470703, sound: 1
time: 640.2000000067055, x: 806, y: 180.3333282470703, sound: 1
time: 655.6000000089407, x: 804, y: 174.3333282470703, sound: 1
time: 656, x: 550, y: 170.3333282470703, sound: 1
time: 656.0999999977648, x: 550, y: 170.3333282470703, sound: 1
time: 657.0000000074506, x: 804, y: 172.3333282470703, sound: 1
time: 670, x: 555, y: 162.3333282470703, sound: 1
time: 672.8000000007451, x: 556, y: 160.3333282470703, sound: 1
time: 672.8999999985099, x: 556, y: 160.3333282470703, sound: 1
time: 673.5000000074506, x: 800, y: 165.3333282470703, sound: 1
time: 685.9000000059605, x: 798, y: 160.3333282470703, sound: 1
time: 689.3000000007451, x: 560, y: 152.3333282470703, sound: 1
time: 689.3999999985099, x: 560, y: 152.3333282470703, sound: 1
time: 690.3000000081956, x: 796, y: 158.3333282470703, sound: 1
time: 706.9000000059605, x: 792, y: 154.3333282470703, sound: 1
time: 716.1000000089407, x: 790, y: 153.3333282470703, sound: 1
time: 723.5000000074506, x: 788, y: 152.3333282470703, sound: 1
time: 740.3000000081956, x: 786, y: 150.3333282470703, sound: 1
time: 749.2000000067055, x: 784, y: 148.3333282470703, sound: 1
time: 756.9000000059605, x: 783, y: 148.3333282470703, sound: 1
time: 773.7000000067055, x: 780, y: 146.3333282470703, sound: 1
time: 777.0000000074506, x: 780, y: 145.3333282470703, sound: 1
time: 790.2000000067055, x: 779, y: 143.3333282470703, sound: 1
time: 807.1000000089407, x: 778, y: 142.3333282470703, sound: 1
time: 823.7000000067055, x: 776, y: 141.3333282470703, sound: 1
time: 838.2000000067055, x: 776, y: 141.3333282470703, sound: 1
time: 840.2000000067055, x: 775, y: 141.3333282470703, sound: 1
time: 1922.8999999985099, x: 1059, y: 234.3333282470703, sound: 1
time: 1939.800000000745, x: 1059, y: 234.3333282470703, sound: 1
time: 1956.5999999977648, x: 1059, y: 234.3333282470703, sound: 1
time: 1973.0999999977648, x: 1059, y: 234.3333282470703, sound: 1
time: 1989.5, x: 1059, y: 234.3333282470703, sound: 1
time: 2085.5000000074506, x: 614, y: 125.33332824707031, sound: 1
time: 2102.2000000067055, x: 610, y: 129.3333282470703, sound: 1
time: 2117.9000000059605, x: 604, y: 134.3333282470703, sound: 1
time: 2127.39999999851, x: 1059, y: 234.3333282470703, sound: 1
